line_id,code,name,network,operator,colour,mode,ref:FR:STIF
r36997,34,Bus 34 : Les Noues RER (Circulaire),Roissy Ouest,Keolis Roissy Pays de France Ouest,#00B353,bus,C02164
r107352,33,Bus 33 : Les Noues RER (Circulaire),Roissy Ouest,Keolis Roissy Pays de France Ouest,#007AC2,bus,C00211
r107354,11,Bus 11 : Victor Basch (Goussainville) ↔ Saint-Denis Porte de Paris,Les Courriers de l'Île-de-France,Keolis CIF,#B456A1,bus,C00191
r107356,32,Bus 32 : Victor Basch (Goussainville) ↔ Zone aéroportuaire de Roissy,Roissy Ouest,Keolis Roissy Pays de France Ouest,#B2CE40,bus,C00209
r122886,C,Transilien Ligne RER C,RER,SNCF,#FCD946,train,C01727
r215565,U,Transilien U,Transilien,SNCF,#B90845,train,C01741
r225665,170,Bus 170 : Saint-Denis RER ↔ Porte des Lilas,RATP,RATP,#87d3df,bus,C01191
r225801,115,Bus 115: Château de Vincennes ↔ Porte des Lilas,RATP,RATP,#008B5A,bus,C01144
r226276,96,Bus 96 : Gare Montparnasse ↔ Porte des Lilas-Métro,RATP,RATP,#DFB03A,bus,C01127
r253357,K,Transilien K,Transilien,SNCF,#9F9825,train,C01738
r255442,61,Bus 61 : Place d'Italie ↔ Pantin — Église de Pantin,RATP,RATP,#008C5A,bus,C01097
r332709,147,Bus 147 : Église de Pantin ↔ Sevran – Avenue Ronsard,RATP,RATP,#F50024,bus,C01172
r387064,86,Bus 86 : Champ de Mars ↔ Saint-Mandé — Demi-Lune - Parc Zoologique,RATP,RATP,#ED1B2A,bus,C01118
r557587,285,Bus 285 : Athis-Mons – Porte de l'Essonne ↔ Juvisy RER,RATP,RATP,#bb4a9c,bus,C01262
r611648,157,Bus 157 : Nanterre - Boulevard de la Seine ↔ Pont de Neuilly,RATP,RATP,#B34A9B,bus,C01180
r611689,378,Bus 378 : Nanterre–Ville RER ↔ Les Courtilles,RATP,RATP,#00824E,bus,C01311
r611690,367,Bus 367 : Rueil-Malmaison RER ↔ Pont de Bezons,RATP,RATP,#F59FB8,bus,C01307
r901462,160,Bus 160 : Pont de Saint-Cloud – Albert Kahn ↔ Nanterre–Préfecture RER,RATP,RATP,#0c8c5d,bus,C01183
r937383,174,Bus 174 : La Défense ↔ Trézel ou Saint-Ouen RER,RATP,RATP,#00643C,bus,C01195
r937390,74,Bus 74 : Clichy-la-Garenne – Berges de Seine ↔ Châtelet,RATP,RATP,#CEC92A,bus,C01109
r949582,177,Bus 177 : Asnières-Gennevilliers - Gabriel Péri ↔ Villeneuve-La-Garenne - ZI Nord,RATP,RATP,#85E271,bus,C01198
r949583,137,Bus 137 : Porte de Clignancourt ↔ Villeneuve-la-Garenne ZI Nord,RATP,RATP,#ff5a00,bus,C01163
r949584,261,Bus 261 : Gare de Franconville ↔ Bongarde,RATP,RATP,#FF1300,bus,C01249
r949585,178,Bus 178 : La Défense ↔ Gennevilliers RER ↔ Vieux Chemin de Saint-Denis–Centre Commercial,RATP,RATP,#3445C6,bus,C01199
r952693,166,Bus 166 : Gennevilliers ZAC des Louvresses ↔ Porte de Clignancourt,RATP,RATP,#652B91,bus,C01188
r952830,85,Bus 85 : Saint-Ouen - Les Docks ↔ Châtelet,RATP,RATP,#7c562f,bus,C01117
r954976,139,Bus 139 : Quai de Seine ↔ Porte de la Villette,RATP,RATP,#ff5a00,bus,C01165
r968720,144,Bus 144 : Rueil Malmaison RER ↔ La Défense,RATP,RATP,#d282be,bus,C01169
r1057488,38,Bus 38 : Porte de la Chapelle ↔ Porte d'Orléans,RATP,RATP,#0055c8,bus,C01083
r1057566,46,Bus 46 : Gare de l'Est ↔ Château de Vincennes,RATP,RATP,#CDC92A,bus,C01087
r1057567,43,Bus 43 : Neuilly-sur-Seine — Bagatelle ↔ Gare du Nord,RATP,RATP,#ff1400,bus,C01086
r1057570,42,Bus 42 : Gare Saint-Lazare ↔ Cours de l'Île Seguin,RATP,RATP,#ffbe00,bus,C01085
